x,y,yaw,k,s,max_v
121.94517350056104,370.2919757248252,1.5959973032542838,-1.6127989127911162e-07,7.5,150.0
121.94265367044325,370.3919439720649,1.595997287646454,-1.50876703199695e-07,7.6000000000000005,150.0
121.94013384183373,370.4919122193426,1.5959972730789431,-1.4047351512027874e-07,7.7,150.0
121.93761401462852,370.5918804666557,1.595997259551751,-1.3007032704086264e-07,7.800000000000001,150.0
121.93509418872361,370.6918487140016,1.5959972470648778,-1.1966713896144683e-07,7.9,150.0
121.93257436401498,370.7918169613776,1.5959972356183234,-1.0926395088203126e-07,8.0,150.0
121.93005454039863,370.89178520878124,1.5959972252120875,-9.886076280261597e-08,8.1,150.0
121.92753471777058,370.9917534562097,1.5959972158461708,-8.845757472320069e-08,8.200000000000001,150.0
121.92501489602682,371.0917217036605,1.5959972075205726,-7.805438664378582e-08,8.3,150.0
121.92249507506337,371.19168995113097,1.5959972002352933,-6.765119856437114e-08,8.4,150.0
121.91997525477622,371.2916581986184,1.595997193990333,-5.724801048495663e-08,8.5,150.0
121.91745543506136,371.3916264461203,1.5959971887856914,-4.68448224055423e-08,8.6,150.0
121.91493561581477,371.49159469363406,1.5959971846213685,-3.644163432612794e-08,8.700000000000001,150.0
121.91241579693252,371.591562941157,1.5959971814973644,-2.6038446246713802e-08,8.8,150.0
121.90989597831056,371.6915311886865,1.5959971794136791,-1.5635258167299804e-08,8.9,150.0
121.90737615984476,371.7914994362199,1.5959971783837574,-4.3833772916219076e-09,9.0,150.0
121.90485634142135,371.8914676837544,1.5959971785995128,8.698485136193937e-09,9.1,150.0
121.902336522911,371.9914359312866,1.5959971801234545,2.1780347564010025e-08,9.200000000000001,150.0
121.89981670418291,372.09140417881343,1.5959971829555823,3.4862209991825946e-08,9.3,150.0
121.8972968851063,372.19137242633144,1.5959971870958964,4.7944072419641965e-08,9.4,150.0
121.8947770655504,372.29134067383734,1.595997192544397,6.102593484745816e-08,9.5,150.0
121.89225724538444,372.39130892132795,1.5959971993010835,7.410779727527477e-08,9.600000000000001,150.0
121.88973742447764,372.4912771687998,1.5959972073659563,8.71896597030914e-08,9.700000000000001,150.0
121.88721760269924,372.59124541624976,1.5959972167390155,1.002715221309083e-07,9.8,150.0
121.8846977799184,372.6912136636744,1.5959972274202607,1.1335338455872551e-07,9.9,150.0
121.88217795600443,372.79118191107045,1.5959972394096924,1.2643524698654308e-07,10.0,150.0
121.87965813082647,372.8911501584347,1.59599725270731,1.3951710941436123e-07,10.100000000000001,150.0
121.8771383042538,372.99111840576376,1.5959972673131142,1.525989718421795e-07,10.200000000000001,150.0
121.87461847615562,373.09108665305433,1.5959972832271045,1.656808342699982e-07,10.3,150.0
121.87209864640117,373.19105490030324,1.5959973004492811,1.7876269669781727e-07,10.4,150.0
121.86957881485965,373.291023147507,1.595997318979644,1.9184455912563666e-07,10.5,150.0
121.86705898140029,373.3909913946625,1.595997338818193,2.0492642155345676e-07,10.600000000000001,150.0
121.86453914589234,373.4909596417664,1.5959973599649282,2.1800828398127676e-07,10.700000000000001,150.0
121.86201930820496,373.5909278888152,1.5959973824198497,2.310901464090972e-07,10.8,150.0
121.85949946820745,373.6908961358059,1.5959974061829574,2.441720088369178e-07,10.9,150.0
121.85697962576897,373.79086438273504,1.5959974312542515,2.572538712647387e-07,11.0,150.0
121.85445978075877,373.89083262959934,1.5959974576337317,2.7033573369255976e-07,11.100000000000001,150.0
121.8519399330461,373.99080087639555,1.5959974853213983,2.834175961203809e-07,11.200000000000001,150.0
121.8494200825001,374.09076912312025,1.595997514317251,2.964994585482017e-07,11.3,150.0
121.8469002289901,374.1907373697704,1.59599754462129,3.095813209760223e-07,11.4,150.0
121.84438037238525,374.29070561634245,1.5959975762335152,3.2266318340384266e-07,11.5,150.0
121.84186051255479,374.3906738628331,1.5959976091539265,3.3574504583166284e-07,11.600000000000001,150.0
121.83934064936795,374.49064210923933,1.5959976433825243,3.488269082594821e-07,11.700000000000001,150.0
121.83682078269395,374.59061035555754,1.5959976789193082,3.619087706873005e-07,11.8,150.0
121.834300912402,374.6905786017846,1.5959977157642784,3.7499063311511794e-07,11.9,150.0
121.83178103836602,374.7905468479172,1.5959977535814478,3.7203918179057427e-07,12.0,150.0
121.82926116062336,374.8905150939565,1.5959977895266833,3.468655260205332e-07,12.100000000000001,150.0
