X,Y
486.958,171.033
486.858,171.035
486.758,171.038
486.658,171.041
486.558,171.044
486.458,171.047
486.359,171.05
486.259,171.053
486.159,171.056
486.059,171.059
485.959,171.062
485.859,171.066
485.759,171.069
485.659,171.072
485.559,171.076
485.459,171.079
485.359,171.082
485.259,171.085
485.159,171.088
485.059,171.091
484.959,171.094
484.859,171.096
484.759,171.098
484.659,171.101
484.559,171.104
484.459,171.107
484.36,171.112
484.26,171.116
484.16,171.121
484.06,171.126
483.96,171.131
483.86,171.135
483.76,171.138
483.66,171.141
483.56,171.142
483.46,171.143
483.36,171.144
483.26,171.145
483.16,171.145
483.059,171.146
482.959,171.147
482.859,171.149
482.759,171.151
482.66,171.155
482.56,171.159
482.46,171.165
482.36,171.173
482.261,171.182
482.162,171.192
482.062,171.204
481.963,171.216
481.864,171.228
481.764,171.241
481.665,171.253
481.566,171.264
481.466,171.274
481.367,171.283
481.267,171.291
481.167,171.3
481.068,171.308
480.968,171.315
480.868,171.323
480.769,171.331
480.669,171.34
480.569,171.348
480.47,171.357
480.37,171.366
480.27,171.374
480.171,171.383
480.071,171.391
479.971,171.4
479.872,171.408
479.772,171.417
479.673,171.425
479.573,171.434
479.473,171.443
479.374,171.451
479.274,171.46
479.174,171.47
479.075,171.479
478.975,171.489
478.876,171.498
478.776,171.508
478.677,171.518
478.577,171.528
478.478,171.539
478.378,171.549
478.279,171.559
478.179,171.569
478.08,171.579
477.98,171.589
477.881,171.599
477.782,171.609
477.682,171.62
477.583,171.63
477.483,171.64
477.384,171.65
477.284,171.66
477.185,171.67
477.085,171.681
476.986,171.691
476.886,171.701
476.787,171.711
476.687,171.722
476.588,171.732
476.488,171.741
476.389,171.751
476.289,171.761
476.19,171.77
476.09,171.781
475.991,171.792
475.892,171.804
475.792,171.816
475.693,171.828
475.594,171.84
475.494,171.851
475.395,171.862
475.296,171.874
475.196,171.885
475.097,171.897
474.998,171.909
474.898,171.92
474.799,171.932
474.7,171.944
474.6,171.956
474.501,171.967
474.402,171.979
474.302,171.991
474.203,172.002
474.104,172.014
474.004,172.025
473.905,172.037
473.806,172.049
473.707,172.06
473.607,172.072
473.508,172.084
473.409,172.096
473.309,172.107
473.21,172.119
473.111,172.131
473.011,172.143
472.912,172.154
472.813,172.166
472.713,172.178
472.614,172.189
472.515,172.201
472.415,172.213
472.316,172.224
472.217,172.236
472.117,172.247
472.018,172.259
471.919,172.271
471.819,172.282
471.72,172.294
471.621,172.305
471.522,172.317
471.422,172.329
471.323,172.341
471.224,172.352
471.124,172.364
471.025,172.376
470.926,172.387
470.826,172.399
470.727,172.411
470.628,172.423
470.528,172.434
470.429,172.446
470.33,172.458
